用电量,光伏供电量,风电供电量
302,0.0,73.2
292,0.0,108.75
307,0.0,197.95
293,0.0,91.55000000000001
271,0.0,235.8
252,0.0,310.75
283,0.0,147.29999999999998
223,6.300000000000004,60.699999999999996
292,196.8,12.5
283,378.84000000000003,151.15
287,476.15999999999997,9.799999999999999
362,535.5,61.199999999999996
446,539.94,166.75
504,493.2600000000001,132.64999999999998
455,400.02,61.0
506,256.5,81.65
283,12.960000000000008,132.25
311,0.0,170.4
418,0.0,159.15
223,0.0,164.95000000000002
229,0.0,85.15
361,0.0,82.75
302,0.0,94.85000000000001
291,0.0,116.15
